,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
1496,7866,13Z,seaplane_base,Loring Seaplane Base,55.601299,-131.636993,,,US,US-AK,Loring,no,P13Z,WLR,13Z,,,Naha Bay
1637,7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0.0,,US,US-AK,Port Alice,no,16K,PTC,16K,,,
1834,8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,
2475,8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,,US,US-AK,Ellamar,no,,ELW,1Z9,,,
3771,9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0.0,,US,US-AK,Entrance Island,no,,HBH,,,,2Z1
3775,9906,2Z6,seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,,US,US-AK,False Island,no,2Z6,FAK,2Z6,,,
4916,10905,3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,91.0,,US,US-AK,Golden Horn Lodge,no,3Z8,GDH,3Z8,,,
5977,11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,
6329,12114,57A,seaplane_base,Tokeen Seaplane Base,55.9370994568,-133.32699585,,,US,US-AK,Tokeen,no,57A,TKI,57A,,https://en.wikipedia.org/wiki/Tokeen_Seaplane_Base,
6477,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
6673,12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,
7031,12764,5Z9,seaplane_base,Lake Brooks Seaplane Base,58.554798126221,-155.77699279785,36.0,,US,US-AK,Katmai National Park,no,5Z9,BKF,5Z9,,https://en.wikipedia.org/wiki/Lake_Brooks_Seaplane_Base,
7560,13208,6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,5.0,,US,US-CA,San Pedro,no,6CA3,SPQ,6CA3,,,
7779,13405,6N5,heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,10.0,,US,US-NY,New York,yes,6N5,TSS,6N5,,,
7781,13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,,US,US-NY,New York,yes,,QNY,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,
8413,13974,78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,,,US,US-AK,Yes Bay,no,78K,WYB,78K,,,
9151,14620,83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,47.734001159668,-122.64700317383,0.0,,US,US-WA,Poulsbo,no,83Q,PUL,83Q,http://www.portofpoulsbo.com/seaplane-base/,,
9166,14633,84CL,heliport,Century City Heliport,34.060798645,-118.417999268,473.0,,US,US-CA,Los Angeles,no,84CL,CCD,84CL,,,
9176,14642,84K,seaplane_base,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883,0.0,,US,US-AK,Meyers Chuck,no,84K,WMK,84K,,,
10190,15514,96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,0.0,,US,US-AK,Whale Pass,no,,WWP,96Z,,,"North Whale SPB, North Whale Pass"
10576,15836,9N2,seaplane_base,Philadelphia Seaplane Base,39.859001159668,-75.299598693848,0.0,,US,US-PA,Essington,no,9N2,PSQ,9N2,http://www.phillyseaplanebase.com/,https://en.wikipedia.org/wiki/Philadelphia_Seaplane_Base,Chandler Field
10829,16074,A23,seaplane_base,Saginaw Seaplane Base,56.8862991333,-134.158004761,0.0,,US,US-AK,Saginaw Bay,no,A23,SGW,A23,,https://en.wikipedia.org/wiki/Saginaw_Seaplane_Base,
10882,41841,AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,3450.0,EU,AD,AD-08,Escaldes-Engordany,no,,ALV,,,http://pl.wikipedia.org/wiki/Heliport_Andorra_la_Vella,
10891,313546,AE-0006,seaplane_base,Jebel Ali Seaplane Base,24.988967,55.023796,0.0,AS,AE,AE-DU,Jebel Ali,no,,DJH,,,,
11113,332240,AF-0005,medium_airport,Khost International Airport,33.284605,69.80734,4204.0,AS,AF,AF-KHO,Khost,no,OAKS,KHT,,,,
11135,309041,AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.644,95.0,AS,LK,LK-5,Ampara,no,,AFK,,,,
11149,3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28.0,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
11154,4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10.0,OC,SB,SB-WE,Munda,yes,AGGM,MUA,,,https://en.wikipedia.org/wiki/Munda_Airport,
11175,306999,AGTI,heliport,Tulaghi Heliport,-9.108,160.149166667,3.0,OC,SB,SB-CE,Tulaghi Island,no,AGTI,TLG,,,,Tulagi
11177,312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600.0,AS,CN,CN-51,Ngawa (Hongyuan),no,ZUHY,AHJ,,,https://en.wikipedia.org/wiki/Hongyuan_Airport,Aba
11240,16149,AK56,seaplane_base,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005,304.0,,US,US-AK,Tikchik,no,AK56,KTH,AK56,,,
11246,16155,AK62,seaplane_base,Naukati Bay Seaplane Base,55.849602,-133.227994,0.0,,US,US-AK,Tuxekan Island,no,AK62,NKI,AK62,,https://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base,"62A, Nichin Cove Seaplane Base, WNC"
11264,16174,AK81,seaplane_base,Amook Bay Seaplane Base,57.4715003967,-153.815002441,,,US,US-AK,Amook Bay,yes,AK81,AOS,AK81,,https://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base,
11392,16289,ALZ,seaplane_base,Alitak Seaplane Base,56.8995018005,-154.248001099,,,US,US-AK,Lazy Bay,no,,ALZ,ALZ,,https://en.wikipedia.org/wiki/Alitak_Seaplane_Base,
11413,8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,https://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
12864,35302,AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,-20.059999465942383,148.88099670410156,,OC,AU,AU-QLD,Hayman Island,yes,,HIS,,,,
12886,314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560.0,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,,,https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
12891,53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,https://en.wikipedia.org/wiki/Buka_Airport,
12898,54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974.0,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,,,https://en.wikipedia.org/wiki/Chimbu_Airport,
12907,55,AYDU,medium_airport,Daru Airport,-9.08675956726,143.207992554,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,https://en.wikipedia.org/wiki/Daru_Airport,
12930,56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282.0,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,,,https://en.wikipedia.org/wiki/Goroka_Airport,
12937,57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88.0,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,,,https://en.wikipedia.org/wiki/Gurney_Airport,
12941,58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,,,https://en.wikipedia.org/wiki/Girua_Airport,
12950,59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66.0,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,,,https://en.wikipedia.org/wiki/Hoskins_Airport,
12979,60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,,,https://en.wikipedia.org/wiki/Kerema_Airport,
12983,61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,,,https://en.wikipedia.org/wiki/Kavieng_Airport,
12997,317271,AYM,seaplane_base,Yas Island Seaplane Base,24.467,54.6103,0.0,AS,AE,AE-AZ,Abu Dhabi,no,,AYM,,,,
13000,62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,https://en.wikipedia.org/wiki/Madang_Airport,
13001,63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388.0,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,,,https://en.wikipedia.org/wiki/Mount_Hagen_Airport,
13004,64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680.0,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,,,https://en.wikipedia.org/wiki/Mendi_Airport,
13005,65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,,,https://en.wikipedia.org/wiki/Momote_Airport,
13019,66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
13041,67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,
13080,68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49.0,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,,,https://en.wikipedia.org/wiki/Rabaul_Airport,
13110,69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10.0,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,,,https://en.wikipedia.org/wiki/Vanimo_Airport,
13114,70,AYWD,medium_airport,Wapenamanda Airport,-5.635293,143.892231,5889.0,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,,,https://en.wikipedia.org/wiki/Wapenamanda_Airport,
13116,71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport,
13131,300786,AYY,seaplane_base,Arugam Bay SPB,6.86,81.82388888890002,,AS,LK,LK-5,Pottuvil,no,,AYY,,,,
13153,44941,AZ-0001,medium_airport,Zabrat Airport,40.4955422161,49.9768066406,36.0,AS,AZ,AZ-BA,Baku,no,UBTT,ZXT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,
13163,44952,AZ-0011,medium_airport,Fuzuli International Airport,39.594578,47.196128,1247.0,AS,AZ,AZ-FUZ,Fuzuli,no,UBBF,FZL,,,https://en.wikipedia.org/wiki/Fuzuli_International_Airport,
13193,16403,AZ15,heliport,Lava Falls Heliport,36.1916007996,-113.092002869,1720.0,,US,US-AZ,Supai Village,no,AZ15,HAE,AZ15,,,Havasupai Airport
13300,27301,BCW,medium_airport,Benguera Island Airport,-21.85330009460449,35.43830108642578,,AF,MZ,MZ-I,Benguera Island,yes,,BCW,,,https://en.wikipedia.org/wiki/Benguera_Island_Airport,
